,site,latitude,longitude,site_area,year_of_origin,site_shape,tree,species,angle,radius,year,has_any_damage,dead,snag,log,dbh,ba,height,crown_height,crown_width,category,site_type
1,JO101,63.12998611,30.60890556,1600,1844,Circular,1,2,1,1870,1994,FALSE,FALSE,NA,NA,9.899494937,76.96902001,NA,NA,NA,1,3
5577,JO101,63.12998611,30.60890556,1600,1844,Circular,1,2,1,1870,2007,FALSE,FALSE,NA,NA,10.84896308,92.44136383,NA,NA,NA,1,3
10498,JO101,63.12998611,30.60890556,1600,1844,Circular,1,2,1,1870,2019,FALSE,FALSE,FALSE,FALSE,12.24744871,117.8097245,NA,NA,NA,1,3
2,JO101,63.12998611,30.60890556,1600,1844,Circular,2,2,2,1348,1994,FALSE,FALSE,NA,NA,12.24989796,117.8568484,NA,NA,NA,1,3
5578,JO101,63.12998611,30.60890556,1600,1844,Circular,2,2,2,1348,2007,TRUE,TRUE,TRUE,FALSE,12.1,114.9901451,NA,NA,NA,3,3
10499,JO101,63.12998611,30.60890556,1600,1844,Circular,2,2,2,1348,2019,TRUE,TRUE,FALSE,TRUE,12.1,114.9901451,NA,NA,NA,3,3
3,JO101,63.12998611,30.60890556,1600,1844,Circular,3,2,5,1502,1994,FALSE,FALSE,NA,NA,19.82725397,308.755726,NA,NA,NA,1,3
5579,JO101,63.12998611,30.60890556,1600,1844,Circular,3,2,5,1502,2007,FALSE,FALSE,NA,NA,20.14497456,318.7302827,NA,NA,NA,1,3
10500,JO101,63.12998611,30.60890556,1600,1844,Circular,3,2,5,1502,2019,FALSE,FALSE,FALSE,FALSE,21.34291452,357.7645714,NA,NA,NA,1,3
4,JO101,63.12998611,30.60890556,1600,1844,Circular,4,2,5,1475,1994,TRUE,FALSE,NA,FALSE,5.799137867,26.41294024,50,35,NA,1,3
5580,JO101,63.12998611,30.60890556,1600,1844,Circular,4,2,5,1475,2007,FALSE,TRUE,NA,NA,5.249761899,21.64557338,NA,NA,NA,3,3
10501,JO101,63.12998611,30.60890556,1600,1844,Circular,4,2,5,1475,2019,TRUE,TRUE,FALSE,TRUE,5.249761899,21.64557338,NA,NA,NA,3,3
5,JO101,63.12998611,30.60890556,1600,1844,Circular,5,3,4,680,1994,FALSE,FALSE,NA,NA,24.39815567,467.5239647,NA,NA,NA,1,3
5581,JO101,63.12998611,30.60890556,1600,1844,Circular,5,3,4,680,2007,FALSE,FALSE,NA,NA,25.89304926,526.5701986,NA,NA,NA,1,3
10502,JO101,63.12998611,30.60890556,1600,1844,Circular,5,3,4,680,2019,FALSE,FALSE,FALSE,FALSE,26.8488361,566.1621201,NA,NA,NA,1,3
6,JO101,63.12998611,30.60890556,1600,1844,Circular,6,2,9,2222,1994,FALSE,FALSE,NA,NA,6.54064217,33.59933343,NA,NA,NA,1,3
5582,JO101,63.12998611,30.60890556,1600,1844,Circular,6,2,9,2222,2007,FALSE,FALSE,NA,NA,6.849817516,36.85088183,NA,NA,NA,1,3
